Name,Tm
Randy Dobnak,MIN
Josh Donaldson,MIN
Sean Doolittle,CIN
Camilo Doval,SFG
Hunter Dozier,KCR
Mauricio Dubon,SFG
Tyler Duffey,MIN
Matt Duffy,CHC
Steven Duggar,SFG
Adam Duvall,MIA
Jarrod Dyson,KCR
Adam Eaton,CHW
Tommy Edman,STL
Zach Eflin,PHI
Eduardo Escobar,ARI
Santiago Espinal,TOR
Paolo Espino,WSN
Carlos Estevez,COL
Phillip Evans,PIT
Pete Fairbanks,TBR
Bailey Falter,PHI
Jeurys Familia,NYM
Kyle Farmer,CIN
Erick Fedde,WSN
Michael Feliz,PIT
J.P. Feyereisen,MIL
Kyle Finnegan,WSN
Jack Flaherty,STL
David Fletcher,LAA
Wilmer Flores,SFG
Dylan Floro,MIA
Mike Ford,NYY
Dexter Fowler,LAA
Dustin Fowler,PIT
Jake Fraley,SEA
Ty France,SEA
Maikel Franco,BAL
Adam Frazier,PIT
Clint Frazier,NYY
Todd Frazier,PIT
Freddie Freeman,ATL
Max Fried,ATL
Paul Fr,BAL
Josh Fuentes,COL
Carson Fulmer,CIN
Cam Gallagher,KCR
Giovanny Gallegos,STL
Zac Gallen,ARI
Joey Gallo,TEX
Freddy Galvis,BAL
Ben Gamel,CLE
John Gan,STL
Adolis García,TEX
Aramis Garcia,OAK
Avisail Garcia,MIL
Jarlin Garcia,SFG
Leury Garcia,CHW
Luis Garcia,WSN
Luis Garcia,HOU
Robel Garcia,HOU
Yimi Garcia,MIA
Brett Gardner,NYY
Kyle Garlick,MIN
Amir Garrett,CIN
Mitch Garver,MIN
Kevin Gausman,SFG
Andres Gimenez,CLE
Kevin Ginkel,ARI
Mychal Givens,COL
Tyler Glasnow,TBR
Paul Goldschmidt,STL
Austin Gomber,COL
Yan Gomes,WSN
Chi Chi Gonzalez,COL
Erik Gonzalez,PIT
Marwin Gonzalez,BOS
Victor Gonzalez,LAD
Niko Goodrum,DET
Yasmani Grandal,CHW
Brusdar Graterol,LAD
Jon Gra,COL
Sonny Gra,CIN
Didi Gregorius,PHI
Grayson Greiner,DET
Randal Grichuk,TOR
Trent Grisham,SDP
Robbie Grossman,DET
Robert Gsellman,NYM
Deolis Guerra,OAK
Vladimir Guerrero ,TOR
Luis Guillorme,NYM
Lourdes Gurriel ,TOR
Yuli Gurriel,HOU
Ronald Guzman,TEX
Josh Hader,MIL
Sam Haggerty,SEA
David Hal,PHI
Billy Hamilton,CHW
Garrett Hampson,COL
Brad Hand,WSN
Mitch Haniger,SEA
Ian Happ,CHC
Bryce Harper,PHI
Ryne Harper,WSN
Josh Harrison,WSN
Matt Harvey,BAL
Adam Haseley,PHI
Ke'Bryan Hayes,PIT
Austin Hay,BAL
Nick Heath,ARI
Austin Hedges,CLE
Jonah Heim,TEX
Ryan Helsley,STL
Heath Hembree,CIN
Kyle Hendricks,CHC
Ryan Hendrix,CIN
Guillermo Heredia,ATL
Cesar Hernandez,CLE
Elieser Hernandez,MIA
Enrique Hernandez,BOS
Teoscar Hernandez,TOR
Yadiel Hernández,WSN
Odubel Herrera,PHI
Jason Heyward,CHC
Aaron Hicks,NYY
Jordan Hicks,STL
Kyle Higashioka,NYY
Trevor Hildenberger,NYM
Derek Hil,DET
Rich Hill,TBR
Tim Hil,SDP
Sam Hilliard,COL
Keston Hiura,MIL
Nico Hoerner,CHC
Jeff Hoffman,CIN
Greg Holland,KCR
Jordan Holloway,MIA
Clay Holmes,PIT
Brock Holt,TEX
Rhys Hoskins,PHI
Eric Hosmer,SDP
Adrian Houser,MIL
Sam Howard,PIT
Spencer Howard,PHI
Daniel Hudson,WSN
Scott Hurst,STL
José Iglesias,LAA
Raisel Iglesias,LAA
Ender Inciarte,ATL
Jonathan India,CIN
Kyle Isbel,KCR
Alex Jackson,ATL
Luke Jackson,ATL
Danny Jansen,TOR
Kenley Jansen,LAD
Jon Ja,LAA
Ryan Jeffers,MIN
Pierce Johnson,SDP
JaCoby Jones,DET
Nate Jones,ATL
Taylor Jones,HOU
Matthew Joyce,PHI
Aaron Judge,NYY
Jakob Junis,KCR
James Karinchak,CLE
Sean Kazmar ,ATL
Keone Kel,SDP
Mitch Keller,PIT
Carson Kelly,ARI
Merrill Kelly,ARI
Tony Kemp,OAK
Max Kepler,MIN
Clayton Kershaw,LAD
Carter Kieboom,WSN
Kevin Kiermaier,TBR
Craig Kimbrel,CHC
Scott Kingery,PHI
Tyler Kinley,COL
Brandon Kintzler,PHI
Alex Kirilloff,MIN
Alejandro Kir,TOR
Andrew Kittredge,TBR
Andrew Knapp,PHI
Corey Knebel,LAD
Andrew Knizner,STL
Adam Kolarek,OAK
Chad Kuh,PIT
Juan Lagares,LAA
Travis Lakins,BAL
Jake Lamb,CHW
Dinelson Lamet,SDP
Ramon Laureano,OAK
DJ LeMahieu,NYY
Sandy Leon,MIA
Kyle Lewis,SEA
Josh Lindblom,MIL
Francisco Lindor,NYM
Tim Locastro,ARI
Evan Longoria,SFG
Nicky Lopez,KCR
Pablo Lopez,MIA
Yoan López,ARI
Aaron Loup,NYM
Brandon Lowe,TBR
Nate Lowe,TEX
Jed Lowrie,OAK
Joey Lucchesi,NYM
Jonathan Lucroy,WSN
Jordan Luplow,CLE
Gavin Lu,LAD
Jesus Luzardo,OAK
Manny Machado,SDP
Vimael Machin,OAK
Nick Madrigal,CHW
Kenta Maeda,MIN
Tyler Mahle,CIN
Martin Maldonado,HOU
Trey Mancini,BAL
Dillon Maples,CHC
Tucupita Marcano,SDP
Manuel Margot,TBR
Jake Marisnick,CHC
Jose Marmolejos,SEA
German Marquez,COL
Ketel Marte,ARI
Starling Marte,MIA
Chris Martin,ATL
Carlos Martinez,STL
J.D. Martinez,BOS
Jorge Mateo,SDP
Wyatt Mathisen,ARI
Nick Maton,PHI
Phil Maton,CLE
Tyler Matzek,ATL
Jack Mayfield,LAA
Nomar Mazara,DET
Ryan McBroom,KCR
James McCann,NYM
Chas McCormick,HOU
Andrew McCutchen,PHI
Jake McGee,SFG
Kyle McGowin,WSN
Collin McHugh,TBR
Ryan McKenna,BAL
Triston McKenzie,CLE
Billy McKinney,MIL
Zach McKinstry,LAD
Ryan McMahon,COL
Jeff McNeil,NYM
Austin Meadows,TBR
Trevor Megill,CHC
Francisco Mejia,TBR
Mark Melancon,SDP
Danny Mendick,CHW
Yermin Mercedes,CHW
Jordy Mercer,WSN
Whit Merrifield,KCR
Wade Miley,CIN
Andrew Miller,STL
Brad Miller,PHI
Shelby Miller,CHC
Alec Mills,CHC
A.J. Minter,ATL
Yadier Molina,STL
Yoan Moncada,CHW
Mickey Moniak,PHI
Dylan Moore,SEA
Matt Moore,PHI
Colin Moran,PIT
Adrián Morejón,SDP
Mitch Moreland,OAK
Reyes Moronta,SFG
Charlie Morton,ATL
Ryan Mountcastle,BAL
Mike Moustakas,CIN
Cedric Mullins,BAL
Max Muncy,LAD
Sean Murphy,OAK
Tom Murphy,SEA
Joe Musgrove,SDP
Wil Myers,SDP
Tyler Naquin,CIN
Omar Narvaez,MIL
Josh Naylor,CLE
Nick Neidert,MIA
Jimmy Nelson,LAD
Hector Neris,PHI
Sheldon Neuse,LAD
Sean Newcomb,ATL
Kevin Newman,PIT
Tomas Nid,NYM
Brandon Nimmo,NYM
John Nogowski,STL
Aaron Nol,PHI
Aaron Northcraft,SDP
Dom Nunez,COL
Renato Nunez,DET
Brian O'Grady,SDP
Ryan O'Hearn,KCR
Tyler O'Neill,STL
Joseph Odo,TBR
Rougned Odor,NYY
Shohei Ohtani,LAA
Matt Olson,OAK
Johan Oviedo,STL
Luis Oviedo,PIT
Chris Owings,COL
Marcell Ozuna,ATL
Cristian Pache,ATL
Chris Paddack,SDP
Kevin Padlo,TBR
Emilio Pagan,SDP
Josh Palacios,TOR
Joe Panik,TOR
Mark Payton,CIN
Matt Peacock,ARI
Joc Pederson,CHC
David Peralta,ARI
Freddy Peralta,MIL
Wandy Peralta,SFG
Angel Perdomo,MIL
Geraldo Perdomo,ARI
Cionel Pérez,CIN
Hernan Perez,WSN
Michael Perez,PIT
Oliver Perez,CLE
Roberto Perez,CLE
Salvador Perez,KCR
DJ Peters,LAD
David Peterson,NYM
Jace Peterson,MIL
Yusmeiro Petit,OAK
Tommy Pha,SDP
Brett Phillips,TBR
Kevin Pillar,NYM
Manny Pin,MIL
Chad Pinder,OAK
Michael Pineda,MIN
Stephen Piscotty,OAK
Kevin Plawecki,BOS
Adam Plutko,BAL
Gregory Polanco,PIT
Jorge Polanco,MIN
AJ Pollock,LAD
Drew Pomeranz,SDP
Zach Pop,MIA
Sean Poppen,PIT
Buster Posey,SFG
David Price,LAD
Jurickson Profar,SDP
Albert Pujols,LAA
Cal Quantrill,CLE
Roman Quinn,PHI
Tanner Rainey,WSN
Brooks Raley,HOU
Luke Raley,LAD
Jose Ramirez,CLE
Nick Ramirez,SDP
Wilson Ramos,DET
Drew Rasmussen,MIL
Corey Ra,MIL
J.T. Realmuto,PHI
Sean Reid-Foley,NYM
Anthony Rendon,LAA
Hunter Renfroe,BOS
Luis Rengifo,LAA
Alex Reyes,STL
Franmil Reyes,CLE
Pablo Reyes,MIL
Victor Reyes,DET
Bryan Reynolds,PIT
Garrett Richards,BOS
JT Riddle,MIN
Austin Riley,ATL
Edwin Rios,LAD
Anthony Rizzo,CHC
Luis Robert,CHW
Daniel Robertson,MIL
Hansel Robles,MIN
Victor Robles,WSN
Richard Rodriguez,PIT
Chaz R,TBR
Taylor Rogers,MIN
Trevor Rogers,MIA
Tyler Rogers,SFG
Jose Rojas,LAA
Josh Rojas,ARI
Miguel Rojas,MIA
Sal Romano,CIN
JoJo Romero,PHI
Austin Romine,CHC
Sergio Rom,OAK
Brent Rooker,MIN
Amed Rosario,CLE
Eddie Rosario,CLE
Joe Ros,WSN
Ramon Rosso,PHI
Darin R,SFG
Rio Ruiz,BAL
Kyle Ryan,CHC
Aaron Sanchez,SFG
Gary Sanchez,NYY
Pablo Sandoval,ATL
Miguel San,MIN
Carlos Santana,KCR
Dennis Santana,LAD
Anthony Santander,BAL
Gregory Santos,SFG
Scott Schebler,LAA
Max Scherzer,WSN
Jonathan Schoop,DET
Max Schrock,CIN
Kyle Schwarber,WSN
Tanner Scott,BAL
Corey Seager,LAD
Kyle Seager,SEA
Jean Segura,PHI
Marcus Semien,TOR
Antonio Senzatela,COL
Nick Senzel,CIN
Pedro Severino,BAL
Bryan Shaw,CLE
Travis Shaw,MIL
Jordan Sheffield,COL
Ryan Sherriff,TBR
Zack Short,DET
Magneuris Sierra,MIA
Andrelton Simmons,MIN
Lucas Sim,CIN
Chance Sisco,BAL
Austin Slater,SFG
Aaron Slegers,LAA
Caleb Smith,ARI
Dominic Smith,NYM
Joe Smith,HOU
Pavin Smith,ARI
Riley Smith,ARI
Will Smith,ATL
Will Smith,LAD
Drew Smyly,ATL
Blake Snell,SDP
Eric Sogard,CHC
Nick Solak,TEX
Donovan Solano,SFG
Jorge Soler,KCR
Peter Solomon,HOU
Joakim Soria,ARI
Edmundo Sos,STL
Gregory Soto,DET
Juan Soto,WSN
Jeffrey Springs,TBR
Jacob Stallings,PIT
Craig Stammen,SDP
Ryne Stanek,HOU
Giancarlo Stanton,NYY
Cody Stashak,MIN
Max Stassi,LAA
Justin Steele,CHC
Trevor Stephan,CLE
Robert Stephenson,COL
Tyler Stephenson,CIN
Andrew Stevenson,WSN
DJ Stewart,BAL
Trevor Story,COL
Stephen Strasburg,WSN
Chris Stratton,PIT
Myles Straw,HOU
Marcus Stroman,NYM
Pedro Strop,CHC
Garrett Stubbs,HOU
Eugenio Suarez,CIN
Wander Suero,WSN
Cole Sulser,BAL
Brent Suter,MIL
Kurt Suzuki,LAA
Dansby Swanson,ATL
Anthony Swarzak,ARI
Raimel Tapia,COL
Stephen Tarpley,NYM
Dillon Tat,BAL
Fernando Tatis ,SDP
Mike Tauchman,NYY
Leody Taveras,TEX
Chris Taylor,LAD
Tyrone Taylor,MIL
Anderson Tejeda,TEX
Rowdy Tellez,TOR
Ryan Tepera,CHC
Lane Thomas,STL
Ryan Thompson,TBR
Ka'ai To,OAK
Josh Tomlin,ATL
Abraham Toro,HOU
Luis Torrens,SEA
Gleyber Torres,NYY
Ronald Torreyes,PHI
Taylor Trammell,SEA
Blake Treinen,LAD
Alan Trejo,COL
Jose Trevino,TEX
Lou Trivino,OAK
Mike Trout,LAA
Yoshi Tsutsugo,TBR
Kyle Tucker,HOU
Justin Turner,LAD
Trea Turner,WSN
Duane Underwood ,PIT
Justin Upton,LAA
Julio Urias,LAD
Luis Urias,MIL
Ramon Urias,BAL
Jose Urquidy,HOU
Gio Urshela,NYY
Pat Valaika,BAL
Cesar Valdez,BAL
Josh VanMeter,ARI
Ildemaro Vargas,CHC
Andrew Vaughn,CHW
Christian Vazquez,BOS
Vince Velasquez,PHI
Alex Verdugo,BOS
Jonathan Villar,NYM
Daniel Vogelbach,MIL
Stephen Vogt,ARI
Jason Vosler,SFG
Austin Vot,WSN
Joey Votto,CIN
Tyler Wade,NYY
Adam Wainwright,STL
Christian Walker,ARI
Taijuan Walker,NYM
Chad Wallach,MIA
Jared Walsh,LAA
Tony Watson,LAA
Ryan Weathers,SDP
Luke Weaver,ARI
Jacob Web,ATL
Logan Web,SFG
Tyler Webb,STL
Jordan Weems,OAK
J.B. Wendelken,OAK
Joey Wendle,TBR
Zack Wheeler,PHI
Eli White,TEX
Evan White,SEA
Mitch White,LAD
Kodi Whitley,STL
Taylor Widener,ARI
Brad Wieck,CHC
Devin Williams,MIL
Justin Williams,STL
Nick Williams,CHW
Taylor Williams,SDP
Trevor Williams,CHC
Bryse Wilson,ATL
Cody Wilson,WSN
Jesse Winker,CIN
Dan Winkler,CHC
Matt Wisler,SFG
Nick Wittgren,CLE
Tony Wolters,CHC
Kolten Wong,MIL
Alex Woo,SFG
Jake Woodford,STL
Brandon Woodruff,MIL
Brandon Workman,CHC
Kyle Wright,ATL
Ryan Yarbrough,TBR
Eric Yardley,MIL
Mike Yastrzemski,SFG
Christian Yelich,MIL
Huascar Yno,ATL
Alex Young,ARI
Andrew Young,ARI
Ryan Zimmerman,WSN
Bruce Zimmermann,BAL
Mike Zunino,TBR
